================ Training Loss (Wed Nov 26 13:10:48 2025) ================
[Rank 0] (epoch: 1, iters: 4100, time: 0.009, data: 0.028) , G_GAN: 0.795, G_L1: 11.125, D_real: 0.822, D_fake: 0.550

[Rank 0] (epoch: 1, iters: 4200, time: 0.009, data: 0.023) , G_GAN: 1.104, G_L1: 10.504, D_real: 0.562, D_fake: 0.905

[Rank 0] (epoch: 1, iters: 4300, time: 0.009, data: 0.023) , G_GAN: 1.270, G_L1: 11.472, D_real: 0.767, D_fake: 0.599

[Rank 0] (epoch: 1, iters: 4400, time: 0.009, data: 0.023) , G_GAN: 0.778, G_L1: 10.792, D_real: 0.832, D_fake: 0.513

[Rank 0] (epoch: 1, iters: 4500, time: 0.009, data: 0.021) , G_GAN: 0.917, G_L1: 9.650, D_real: 0.521, D_fake: 0.706

[Rank 0] (epoch: 1, iters: 4600, time: 0.009, data: 0.024) , G_GAN: 1.083, G_L1: 10.064, D_real: 0.476, D_fake: 0.642

[Rank 0] (epoch: 1, iters: 4700, time: 0.009, data: 0.026) , G_GAN: 0.846, G_L1: 10.270, D_real: 0.591, D_fake: 0.463

[Rank 0] (epoch: 1, iters: 4800, time: 0.009, data: 0.023) , G_GAN: 1.319, G_L1: 9.532, D_real: 0.467, D_fake: 0.644

[Rank 0] (epoch: 1, iters: 4900, time: 0.009, data: 0.022) , G_GAN: 0.708, G_L1: 10.314, D_real: 0.847, D_fake: 0.363

[Rank 0] (epoch: 1, iters: 5000, time: 0.009, data: 0.024) , G_GAN: 1.422, G_L1: 9.917, D_real: 0.324, D_fake: 0.816

[Rank 0] (epoch: 1, iters: 5100, time: 0.009, data: 0.025) , G_GAN: 0.939, G_L1: 9.262, D_real: 0.964, D_fake: 0.305

[Rank 0] (epoch: 1, iters: 5200, time: 0.009, data: 0.023) , G_GAN: 0.660, G_L1: 9.067, D_real: 0.506, D_fake: 0.574

[Rank 0] (epoch: 1, iters: 5300, time: 0.009, data: 0.022) , G_GAN: 1.352, G_L1: 8.741, D_real: 0.375, D_fake: 0.748

